Question,Option 1,Option 2,Option 3,Option 4,Correct Answer
Who won the first ICC Men's T20 World Cup in 2007?,India,Pakistan,Australia,England,1
What is the standard length of a cricket pitch in yards?,20,22,24,26,2
Who has scored the highest number of runs in international cricket?,Ricky Ponting,Virat Kohli,Sachin Tendulkar,Brian Lara,3
Which bowler has taken the most wickets in Test cricket history?,Shane Warne,James Anderson,Anil Kumble,Muttiah Muralitharan,4
What does the acronym 'LBW' stand for in cricket?,Leg Before Wicket,Leg By Wicket,Line Before Wicket,Left Before Wicket,1
Which country is known as the Proteas in international cricket?,Australia,New Zealand,South Africa,West Indies,3
What is the maximum number of overs a bowler can bowl in an ODI match?,10,12,15,20,1
Who holds the record for the highest individual score in a Test innings?,Matthew Hayden,Brian Lara,Virender Sehwag,Don Bradman,2
In which year did the first official Test match take place?,1877,1882,1901,1932,1
Which piece of equipment is known as the 'bail'?,The heavy roller,The boundary rope,The small piece of wood on top of the stumps,The protective gear for the batsman's legs,3
